Round: 1Round: 0
0	-0
3	-0
10	-0
17	-0
18	-0
19	-0
21	-0
31	-0
33	-0
37	-0
49	-0
50	-0
51	-0
52	-0
Round: 0
1	-0
34	-0
35	-0
38	-0
39	-0
41	-0
42	-0
43	-0
44	-0
45	-0
46	-0
47	-0
48	-0
53	-0
Round: 0
2	-0
2	-0
4	-0
5	-0
6	-0
7	-0
8	-0
9	-0
13	-0
14	-0
16	-0
20	-0
22	-0
23	-0
24	-0
25	-0
28	-0
29	-0
30	-0
36	-0
Round: 0
3	-0
0	-0
1	-0
11	-0
12	-0
15	-0
26	-0
27	-0
32	-0
40	-0
Round: 2Round: 1
0	1
3	-0
10	-0
17	-0
18	-0
19	1
21	-0
31	-0
33	-0
37	-0
49	-0
50	-0
51	-0
52	1
Round: 1
1	1
34	1
35	-0
38	-0
39	-0
41	-0
42	-0
43	1
44	-0
45	-0
46	-0
47	-0
48	-0
53	-0
Round: 1
2	1
2	1
4	-0
5	-0
6	-0
7	-0
8	-0
9	-0
13	-0
14	-0
16	-0
20	-0
22	1
23	-0
24	-0
25	1
28	1
29	-0
30	-0
36	-0
Round: 1
3	1
0	-0
1	-0
11	-0
12	-0
15	-0
26	-0
27	1
32	1
40	-0
Round: 3Round: 2
0	0.918296
3	-0
10	-0
17	-0
18	-0
19	0.918296
21	-0
31	-0
33	-0
37	-0
49	-0
50	-0
51	-0
52	0.918296
Round: 2
1	1.58496
34	0.918296
35	-0
38	-0
39	-0
41	-0
42	-0
43	0.918296
44	-0
45	-0
46	-0
47	-0
48	-0
53	-0
Round: 2
2	1.58496
2	0.918296
4	-0
5	-0
6	0.918296
7	-0
8	-0
9	-0
13	0.918296
14	0.918296
16	-0
20	-0
22	0.918296
23	-0
24	-0
25	0.918296
28	0.918296
29	-0
30	-0
36	-0
Round: 2
3	1.58496
0	-0
1	-0
11	-0
12	0.918296
15	-0
26	-0
27	0.918296
32	0.918296
40	-0
Round: 4Round: 3
0	1.5
3	-0
10	-0
17	0.811278
18	-0
19	0.811278
21	-0
31	-0
33	-0
37	-0
49	-0
50	-0
51	-0
52	0.811278
Round: 3
1	2
34	1.5
35	-0
38	-0
39	-0
41	-0
42	-0
43	1
44	-0
45	-0
46	-0
47	-0
48	-0
53	-0
Round: 3
2	2
2	0.811278
4	-0
5	-0
6	1
7	-0
8	-0
9	-0
13	0.811278
14	1
16	-0
20	-0
22	0.811278
23	-0
24	-0
25	0.811278
28	0.811278
29	-0
30	0.811278
36	-0
Round: 3
3	2
0	-0
1	0.811278
11	-0
12	1
15	0.811278
26	-0
27	1
32	0.811278
40	-0
Round: 5Round: 4
0	1.52193
3	-0
10	-0
17	0.970951
18	-0
19	0.721928
21	-0
31	-0
33	-0
37	-0
49	-0
50	-0
51	-0
52	0.721928
Round: 4
1	1.92193
34	1.37095
35	-0
38	-0
39	-0
41	-0
42	-0
43	0.970951
44	-0
45	-0
46	-0
47	-0
48	-0
53	-0
Round: 4
2	2.32193
2	0.721928
4	-0
5	-0
6	0.970951
7	-0
8	0.721928
9	0.721928
13	0.721928
14	0.970951
16	-0
20	-0
22	0.721928
23	-0
24	-0
25	0.721928
28	0.721928
29	-0
30	0.970951
36	-0
Round: 4
3	1.92193
0	-0
1	0.970951
11	-0
12	0.970951
15	0.970951
26	-0
27	0.970951
32	0.721928
40	-0
Round: 6Round: 5
0	1.45915
3	-0
10	-0
17	1
18	-0
19	0.650022
21	-0
31	-0
33	-0
37	-0
49	-0
50	-0
51	-0
52	0.650022
Round: 5
1	1.79248
34	1.25163
35	-0
38	-0
39	-0
41	-0
42	-0
43	0.918296
44	-0
45	-0
46	-0
47	-0
48	-0
53	-0
Round: 5
2	2.58496
2	0.650022
4	-0
5	-0
6	0.918296
7	0.650022
8	0.650022
9	0.918296
13	0.650022
14	0.918296
16	0.650022
20	-0
22	0.650022
23	-0
24	-0
25	0.650022
28	0.650022
29	-0
30	1
36	-0
Round: 5
3	1.79248
0	-0
1	1
11	-0
12	0.918296
15	1
26	-0
27	0.918296
32	0.650022
40	-0
Round: 7Round: 6
0	1.37878
3	-0
10	-0
17	0.985228
18	-0
19	0.591673
21	-0
31	-0
33	-0
37	-0
49	-0
50	-0
51	-0
52	0.591673
Round: 6
1	2.12809
34	1.37878
35	-0
38	-0
39	0.591673
41	-0
42	-0
43	0.863121
44	-0
45	-0
46	-0
47	0.591673
48	-0
53	-0
Round: 6
2	2.52164
2	0.591673
4	-0
5	-0
6	0.863121
7	0.863121
8	0.591673
9	0.985228
13	0.591673
14	0.863121
16	0.863121
20	-0
22	0.591673
23	-0
24	-0
25	0.591673
28	0.591673
29	-0
30	0.985228
36	-0
Round: 6
3	1.6645
0	-0
1	0.985228
11	-0
12	0.863121
15	0.985228
26	-0
27	0.863121
32	0.591673
40	-0
Round: 8Round: 7
0	1.75
3	-0
10	0.543564
17	0.954434
18	-0
19	0.543564
21	-0
31	-0
33	-0
37	-0
49	-0
